player_id,name,club,status,match_score,ea_overall,detail
BOU15,Justin Kluivert,BOU,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
BOU16,Marcus Tavernier,BOU,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
BOU17,Ben Gannon-Doak,BOU,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
BOU18,Enes Unal,BOU,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
BOU19,Evanilson,BOU,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
BRE01,Caoimhin Kelleher,BRE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=29
BRE02,Hakon Valdimarsson,BRE,MATCHED,score=1.00,ea_overall=68,attrs_from_ea=29
BRE03,Michael Kayode,BRE,MATCHED,score=1.00,ea_overall=73,attrs_from_ea=25
BRE04,Kristoffer Ajer,BRE,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
BRE05,Nathan Collins,BRE,MATCHED,score=1.00,ea_overall=79,attrs_from_ea=25
BRE06,Sepp van den Berg,BRE,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
BRE07,Jannik Schuster,BRE,MATCHED,score=1.00,ea_overall=61,attrs_from_ea=25
BRE08,Aaron Hickey,BRE,MATCHED,score=1.00,ea_overall=74,attrs_from_ea=25
BRE09,Rico Henry,BRE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
BRE10,Malick Diouf,BRE,MATCHED,score=1.00,ea_overall=75,attrs_from_ea=25
BRE11,Yehor Yarmoliuk,BRE,MATCHED,score=1.00,ea_overall=71,attrs_from_ea=25
BRE12,Vitaly Janelt,BRE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
BRE13,Mathias Jensen,BRE,AMBIGUOUS(2),,
BRE13,Mathias Jensen,BRE,MATCHED,score=1.00,ea_overall=77,attrs_from_ea=25
BRE14,Mikkel Damsgaard,BRE,MATCHED,score=1.00,ea_overall=80,attrs_from_ea=25
BRE15,Yunus Emre Konak,BRE,MATCHED,score=1.00,ea_overall=62,attrs_from_ea=25
BRE16,Mamadou Sangare,BRE,MATCHED,score=1.00,ea_overall=72,attrs_from_ea=25
BRE17,Keane Lewis-Potter,BRE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
BRE18,Kevin Schade,BRE,AMBIGUOUS(2),,
BRE18,Kevin Schade,BRE,MATCHED,score=1.00,ea_overall=76,attrs_from_ea=25
